date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:16:11	148/148	---M-Z	200	added ('OK')	text/plain	etag:%2222340-1734482413;gz%22	https://thegeestravel.com/robots.txt		(from )
04:16:11	153509/153509	---MCZ	200	added ('OK')	text/html	etag:%2222648-1734695012;gz%22	https://thegeestravel.com/kellies-castle-ipoh-malaysia/	C:/My%20Web%20Sites/The%20Geestravel/thegeestravel.com/kellies-castle-ipoh-malaysia/index.html	(from )
04:16:12	110497/110497	---M--	200	added ('OK')	image/jpeg	etag:%221afa1-633d7b63-c39652161fa71721;;;%22	https://thegeestravel.com/wp-content/uploads/2022/10/Kellies-Castle-Ipoh-Batu-Gajah-Perak-Malaysia-768x512.jpg	C:/My%20Web%20Sites/The%20Geestravel/thegeestravel.com/wp-content/uploads/2022/10/Kellies-Castle-Ipoh-Batu-Gajah-Perak-Malaysia-768x512.jpg	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:12	933/933	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d7646c1b377e4838a21c6185162dd961%22	https://thegeestravel.com/kellies-castle-ipoh-malaysia/feed/	C:/My%20Web%20Sites/The%20Geestravel/thegeestravel.com/kellies-castle-ipoh-malaysia/feed/index.html	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:12	97517/97517	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2000:22:37%20GMT	https://c0.wp.com/c/6.2.6/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/The%20Geestravel/c0.wp.com/c/6.2.6/wp-includes/css/dist/block-library/style.min.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:12	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.2.6/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/The%20Geestravel/c0.wp.com/c/6.2.6/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:12	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.2.6/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/The%20Geestravel/c0.wp.com/c/6.2.6/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:13	291/291	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202023%2020:50:19%20GMT	https://c0.wp.com/c/6.2.6/wp-includes/css/classic-themes.min.css	C:/My%20Web%20Sites/The%20Geestravel/c0.wp.com/c/6.2.6/wp-includes/css/classic-themes.min.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:13	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-65d49a01-8d6ce05dc1a2f237;gz%22	https://thegeestravel.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.7	C:/My%20Web%20Sites/The%20Geestravel/thegeestravel.com/wp-content/plugins/contact-form-7/includes/css/styles38d6.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
04:16:13	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2218f49-66efcc5a-36c34d39c983d469;gz%22	https://thegeestravel.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=6.4.2	C:/My%20Web%20Sites/The%20Geestravel/thegeestravel.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min1e39.css	(from https://thegeestravel.com/kellies-castle-ipoh-malaysia/)
