date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:28	135/135	U-----	200	untouched ('OK')	text/plain	etag:%2260636-1734126018;gz%22	https://theperpetualsaturday.com/robots.txt		(from )
14:47:28	114418/114418	U-----	200	untouched ('OK')	text/html	etag:%2260831-1734135731;gz%22	https://theperpetualsaturday.com/kellies-castle/	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/kellies-castle/index.html	(from )
14:47:29	114706/114706	U-----	200	untouched ('OK')	text/css	etag:%221c012-67346fd4-409c544c51a8ca08;gz%22	https://theperpetualsaturday.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-includes/css/dist/block-library/style.min9704.css	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:29	17974/17974	U-----	200	untouched ('OK')	text/css	etag:%224636-6571460e-f8bcd64e8e580e16;gz%22	https://theperpetualsaturday.com/wp-content/fonts/146750c221c8190b66b4cc5b311d841c.css	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/fonts/146750c221c8190b66b4cc5b311d841c.css	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:29	2806/2806	U-----	200	untouched ('')	application/rss+xml	etag:%229350c66a3d843eb515dcfd83c67f02e2%22	https://theperpetualsaturday.com/kellies-castle/feed/	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/kellies-castle/feed/index.html	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:29	46117/46117	U-----	200	untouched ('OK')	text/css	etag:%22b425-675b1104-54a944a00d654489;gz%22	https://theperpetualsaturday.com/wp-content/themes/pressbook/style.min.css?ver=2.1.1	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/themes/pressbook/style.mine1fc.css	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:29	318/318	---M--	403	error ('Forbidden')	text/html	date:Tue,%2017%20Dec%202024%2006:47:28%20GMT	https://peraktransit.com.my/wp-content/uploads/2019/06/LALUAN-myBAS.jpg	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/peraktransit.com.my/wp-content/uploads/2019/06/LALUAN-myBAS.f.delayed	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	11894/11894	U-----	200	untouched ('OK')	application/x-javascript	etag:%222e76-675ca659-ee1f09741cc5761;gz%22	https://theperpetualsaturday.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=9.2.4	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min6e36.js	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	201077/201077	U--M--	200	updated ('OK')	text/javascript	etag:15275440874376323764	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1919194480352276&host=ca-host-pub-2644536267352236	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/pagead2.googlesyndication.com/pagead/js/fe1c4.txt	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	201070/201070	U--M--	200	updated ('OK')	text/javascript	etag:108579878191200017	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1919194480352276	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/pagead2.googlesyndication.com/pagead/js/f6aa3.txt	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	8963/8963	U-----	200	untouched ('OK')	text/css	etag:%222303-670b64d2-cac0441f681e8529;gz%22	https://theperpetualsaturday.com/wp-content/themes/pressbook-blog/style.min.css?ver=1.3.1	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/themes/pressbook-blog/style.mine7f0.css	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	2772/2772	------	200	untouched ('')	image/png	etag:%22ad4-659655cf-4459047602910ada;;;%22	https://theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-32x32.png	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-32x32.png	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	43474/43474	------	200	untouched ('')	image/png	etag:%22a9d2-659655ce-a5caad6158b85bb6;;;%22	https://theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-192x192.png	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-192x192.png	(from https://theperpetualsaturday.com/kellies-castle/)
14:47:35	39139/39139	------	200	untouched ('')	image/png	etag:%2298e3-659655cf-1358641393d0fc9c;;;%22	https://theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-180x180.png	C:/My%20Web%20Sites/The%20Perpetual%20Sunday/theperpetualsaturday.com/wp-content/uploads/2024/01/cropped-TPS-Logo-Site-Icon-180x180.png	(from https://theperpetualsaturday.com/kellies-castle/)
